episodeId,title,publishedAt,channelTitle,fileName
55,"Mike Kerns and Jesse Jacobs - Content to Commerce - [Invest Like the Best, EP. 220]",6 Apr 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_55.txt
54,Business Breakdowns - Trailer,5 Apr 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_54.txt
53,"Jessi Pujji - A Primer on Performance Marketing - [Founder’s Field Guide, EP. 27]",1 Apr 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_53.txt
52,"Jesse Pujji - A Primer on Performance Marketing - [Founder’s Field Guide, EP. 27]",1 Apr 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_52.txt
51,"Kanyi Maqubela - Dawn of the 21st Century - [Invest Like the Best, EP. 219]",30 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_51.txt
50,"Roxanne Petraeus - Modernizing Compliance - [Founder’s Field Guide, EP.26]",25 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_50.txt
49,"Jesse Walden - A Primer on NFTs - [Invest Like the Best, EP. 218]",23 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_49.txt
48,"Jonathan Goldberg - Capturing Carbon - [Founder’s Field Guide, EP. 25]",18 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_48.txt
47,"Marissa King - The Science of Social Networks - [Invest Like the Best, EP. 217]",16 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_47.txt
46,"Jonathan Neman - Building the Modern Restaurant - [Founder’s Field Guide, EP. 24]",11 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_46.txt
45,"Josh Wolfe and Tony Thomas - The Past, Present, and Future of Defense – [Invest Like the Best, EP. 216]",5 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_45.txt
44,"Matteo Franceschetti – Modernizing Sleep – [Founder’s Field Guide, EP. 23]",4 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_44.txt
43,"Jack Clark - Grateful for Everything, Entitled to Nothing – [Invest Like the Best, EP. 215]",2 Mar 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_43.txt
42,"Ryan Petersen - Where There Is Mystery, There Is Margin – [Founder’s Field Guide, EP. 22]",25 Feb 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_42.txt
41,"Jeremy Grantham - A Historic Market Bubble – [Invest Like the Best, EP.214]",23 Feb 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_41.txt
40,"Carlos Brito – Creating an Ownership Culture – [Founder’s Field Guide, EP. 21]",18 Feb 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_40.txt
39,"Scott Belsky - Focus on the First Mile – [Invest Like the Best, EP. 213]",16 Feb 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_39.txt
38,"Matt Mullenweg – The Past, Present, and Future of the Internet – [Founder’s Field Guide, EP.20]",11 Feb 2021,invest-like-the-best,transcripts/4_invest_like_the_best/episode_38.txt
